dataset,sequence,result_path,result_sha256,diagnostic_path,diagnostic_sha256,frames,diagnostic_records
dtb70,Surfing12,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\test\tracking_results\ostrack\e0__official_vitb256_ce_ep300__v1\Surfing12.txt,cbf37ce3cb1a6b5cdf717e877792e43c68fc557ac6e4dd7d638fd6e4bc6d1b3c,,,135,
dtb70,Surfing04,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\test\tracking_results\ostrack\e0__official_vitb256_ce_ep300__v1\Surfing04.txt,c88efd781e035dc4ba4f26066ebb23dad3e364cb9a985d6bc40807fe84485d0b,,,158,
dtb70,SUP5,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\test\tracking_results\ostrack\e0__official_vitb256_ce_ep300__v1\SUP5.txt,d35249b636755c04f733465d5719cad462092886842aa4e108bd202ff3214f33,,,222,
dtb70,RcCar3,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\test\tracking_results\ostrack\e0__official_vitb256_ce_ep300__v1\RcCar3.txt,c7b4a9934d8a240eba2722de61ead333fc52b7fca5f6a4098a4d87cfe7f5b0fa,,,202,
dtb70,BMX2,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\test\tracking_results\ostrack\e0__official_vitb256_ce_ep300__v1\BMX2.txt,bf5bf057896263b45426105df57f6961239d3884abc54e9246e6fcc1fdcef476,,,160,
uavdt,S1401,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\test\tracking_results\ostrack\e0__official_vitb256_ce_ep300__v1\S1401.txt,edaa53cf9fc09b80618d49a99e19af68a0c80c930b09425d30709c102d7587a8,,,188,
uavdt,S0103,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\test\tracking_results\ostrack\e0__official_vitb256_ce_ep300__v1\S0103.txt,dbeb0f5dff074bb45f5bb748d21dd3c01459bf8825c0175438ad1e266551f626,,,1135,
uavdt,S0402,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\test\tracking_results\ostrack\e0__official_vitb256_ce_ep300__v1\S0402.txt,154bc18816ac737bff76eca0cc5d2e5cca8fdd0d04cae6ec26bbbb90ab2ce14d,,,561,
uavdt,S0306,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\test\tracking_results\ostrack\e0__official_vitb256_ce_ep300__v1\S0306.txt,b7ed63a5009875981a7d2c6b7e845ae8689d61c32add2b8ea837a0bcc15cf195,,,295,
uavdt,S1313,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\test\tracking_results\ostrack\e0__official_vitb256_ce_ep300__v1\S1313.txt,35b57c4f6a3a89edd0f5ae9ca646dfafca6f5b978036facb6b2623b63b7b3772,,,2045,
