dataset,sequence,result_path,result_sha256,diagnostic_path,diagnostic_sha256,frames,diagnostic_records
dtb70,StreetBasketball1,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\test\tracking_results\ostrack_cmc_kf_assoc\e1__official_vitb256_ce_ep300__v5\StreetBasketball1.txt,8fa90a0f99c5f7501071317fb01c4a5f9a70af9596ebe39dd8297197ceeed497,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\cmc_kf_candidate\runtime\e1__official_vitb256_ce_ep300__v5\dtb70\StreetBasketball1.jsonl,af279137f18e70a6c8e7ea68bfac90dccf5fa8f73cbef571369a817e93602795,241,241
dtb70,SUP2,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\test\tracking_results\ostrack_cmc_kf_assoc\e1__official_vitb256_ce_ep300__v5\SUP2.txt,d4430aaedf1c0ba40dcc3f6866a670bc38de17bafc9c56f30c90a1c770abb9cc,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\cmc_kf_candidate\runtime\e1__official_vitb256_ce_ep300__v5\dtb70\SUP2.jsonl,d75b9a576432c664755bb6c0ec3b7b97ffb4eafda2855b878d66f256cd479dc4,133,133
dtb70,SnowBoarding4,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\test\tracking_results\ostrack_cmc_kf_assoc\e1__official_vitb256_ce_ep300__v5\SnowBoarding4.txt,eae5c22eda0ab26b3c8be66171fdfbaa2ca39954861800394316876d5d903486,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\cmc_kf_candidate\runtime\e1__official_vitb256_ce_ep300__v5\dtb70\SnowBoarding4.jsonl,34443fcebf9a110316dbebe1bad6cdb903622b3ef120ebd371614e94bf3b18d7,109,109
dtb70,SpeedCar2,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\test\tracking_results\ostrack_cmc_kf_assoc\e1__official_vitb256_ce_ep300__v5\SpeedCar2.txt,eacd49127b25683780a402f44b92a01b5b3dab9b4175476c25c5b2c655618ee1,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\cmc_kf_candidate\runtime\e1__official_vitb256_ce_ep300__v5\dtb70\SpeedCar2.jsonl,10f05e74fdd7a0cc9456d74eff260c538704a06ebd99b695fdee6911e3af2446,308,308
dtb70,Sheep1,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\test\tracking_results\ostrack_cmc_kf_assoc\e1__official_vitb256_ce_ep300__v5\Sheep1.txt,741eff48e084a5afe09c099a07ca7599081e48b7110d26ae5b428367db11bcc9,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\cmc_kf_candidate\runtime\e1__official_vitb256_ce_ep300__v5\dtb70\Sheep1.jsonl,463ef47738138a084898c5a9162aa56eac7db825690db2a727d0cbaaa3c80d28,391,391
uavdt,S1604,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\test\tracking_results\ostrack_cmc_kf_assoc\e1__official_vitb256_ce_ep300__v5\S1604.txt,bf16e7f696d968182570247513e2cf76c687bb43cdde2aa6f0621213d1feb1e1,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\cmc_kf_candidate\runtime\e1__official_vitb256_ce_ep300__v5\uavdt\S1604.jsonl,19982f46cb0ced7eeec3feaff9c9f2c41b9d99c298e5801d6fa4a87a98c687f5,624,624
uavdt,S0102,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\test\tracking_results\ostrack_cmc_kf_assoc\e1__official_vitb256_ce_ep300__v5\S0102.txt,d86a066b4f25a6f70f28f95ae8f648c0d5c1a1be7c067e0004b55f078247de0c,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\cmc_kf_candidate\runtime\e1__official_vitb256_ce_ep300__v5\uavdt\S0102.jsonl,3f11d188fd4f47f7ee1c780acb9d95d5441d34039b456fb7c5f1a507447b6652,350,350
uavdt,S1601,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\test\tracking_results\ostrack_cmc_kf_assoc\e1__official_vitb256_ce_ep300__v5\S1601.txt,8e4566557a38896b016f4e11ff27ef2d46ca35c1c378b3e0f550b639999ba21f,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\cmc_kf_candidate\runtime\e1__official_vitb256_ce_ep300__v5\uavdt\S1601.jsonl,37795a49ea4c0878ed3a52f4531f1291a3a8206a5acd5ad5d1c033f3eb3d89bc,468,468
uavdt,S0501,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\test\tracking_results\ostrack_cmc_kf_assoc\e1__official_vitb256_ce_ep300__v5\S0501.txt,90ab70b5c8b13fbd84d001d3e4d1f80a39278c7533c61bd9288636440f48fbd5,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\cmc_kf_candidate\runtime\e1__official_vitb256_ce_ep300__v5\uavdt\S0501.jsonl,c6124a54e1582cc7070e44d4b90d0cb7879e17d562582e2c3820986716aee2cb,232,232
uavdt,S1306,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\test\tracking_results\ostrack_cmc_kf_assoc\e1__official_vitb256_ce_ep300__v5\S1306.txt,bd7090baff6b85914f0c3753f132b66afd65085265222c5efa1745dce3640754,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\cmc_kf_candidate\runtime\e1__official_vitb256_ce_ep300__v5\uavdt\S1306.jsonl,67d75c14c94069c4139dd754ac6c34863f0ffdc5658f22e44683b3b7148cc639,2435,2435
visdrone,uav0000222_00900_s,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\test\tracking_results\ostrack_cmc_kf_assoc\e1__official_vitb256_ce_ep300__v5\uav0000222_00900_s.txt,d87845b5d67826dc3f534d367a5fd9ef4fb90497ef23529364ec458f05b99691,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\cmc_kf_candidate\runtime\e1__official_vitb256_ce_ep300__v5\visdrone\uav0000222_00900_s.jsonl,09a468bb4269e08a384da1315c25a98d2e575bfea9a2173be83367cb2238f259,1051,1051
visdrone,uav0000238_00001_s,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\test\tracking_results\ostrack_cmc_kf_assoc\e1__official_vitb256_ce_ep300__v5\uav0000238_00001_s.txt,193794fde92ab43bab0b11ba026eddc476891acf5456b4c46d582e84b712e12c,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\cmc_kf_candidate\runtime\e1__official_vitb256_ce_ep300__v5\visdrone\uav0000238_00001_s.jsonl,4e05e21063ec8f97d9b26ade1e8a2bc4a3755a586c9f5ac7e167d7bdb3e0a685,1200,1200
visdrone,uav0000325_01656_s,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\test\tracking_results\ostrack_cmc_kf_assoc\e1__official_vitb256_ce_ep300__v5\uav0000325_01656_s.txt,075b73f2ed6935473f3dacfb4a800a574a3e0df96be98cece6ae96c241faea0d,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\cmc_kf_candidate\runtime\e1__official_vitb256_ce_ep300__v5\visdrone\uav0000325_01656_s.jsonl,d67210d0ce97d3211e7fc4399942bb7d1fffa98019e4611c4cc0ef9a8a2deb4b,346,346
visdrone,uav0000072_08448_s,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\test\tracking_results\ostrack_cmc_kf_assoc\e1__official_vitb256_ce_ep300__v5\uav0000072_08448_s.txt,5bea3b7a4ef6d4b9698a223d248cb7550d9dc8846817fcd3d260d7bde288cefd,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\cmc_kf_candidate\runtime\e1__official_vitb256_ce_ep300__v5\visdrone\uav0000072_08448_s.jsonl,3a89abec5be2adf2093445dc634e51b325149ab21c28a32fee2825ccb79db516,145,145
visdrone,uav0000239_11136_s,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\test\tracking_results\ostrack_cmc_kf_assoc\e1__official_vitb256_ce_ep300__v5\uav0000239_11136_s.txt,2f7551e2fb7c8da9f4c364256dfd7d0f172c79c071a08e5c00767d937eeb77f8,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\cmc_kf_candidate\runtime\e1__official_vitb256_ce_ep300__v5\visdrone\uav0000239_11136_s.jsonl,303fbf230b62359c721463fff48160aa181bb5c0737390702a28ab1d8ccba952,961,961
uav123,uav_building2,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\test\tracking_results\ostrack_cmc_kf_assoc\e1__official_vitb256_ce_ep300__v5\uav_building2.txt,cb7855992799e5406d7e9a37c28991835b408820d09b6bd6c7e0346b02905a48,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\cmc_kf_candidate\runtime\e1__official_vitb256_ce_ep300__v5\uav123\uav_building2.jsonl,19e6f77d429af87d205ea03a45cf5c888e8b3a7d41df3798f6b6ffd79629b690,577,577
uav123,uav_car12,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\test\tracking_results\ostrack_cmc_kf_assoc\e1__official_vitb256_ce_ep300__v5\uav_car12.txt,b62197d8c6a41eb4e67960b48a89c8a0e021c913e365029f301f65533833ce53,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\cmc_kf_candidate\runtime\e1__official_vitb256_ce_ep300__v5\uav123\uav_car12.jsonl,3b63236a2df1fb25a43a88d1f3855e42af08f7935990f10a4de1a2ce4a8f41b2,499,499
uav123,uav_person3_s,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\test\tracking_results\ostrack_cmc_kf_assoc\e1__official_vitb256_ce_ep300__v5\uav_person3_s.txt,a421a3cc8d87794224b9bab11a23a58bafd15ef931e91f98c14b00047cb4c524,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\cmc_kf_candidate\runtime\e1__official_vitb256_ce_ep300__v5\uav123\uav_person3_s.jsonl,5554f979fe22e355e575bce34ccf917c18a7da1f9f844782095704b4a400cf70,505,505
