dataset,sequence,result_path,result_sha256,diagnostic_path,diagnostic_sha256,frames,diagnostic_records
dtb70,StreetBasketball1,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\test\tracking_results\ostrack_cmc_kf_assoc\m1__official_vitb256_ce_ep300__v5\StreetBasketball1.txt,a7097f2b946b74cf90591303b3f609404c9516dd768fac9002a3894e3573d475,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\cmc_kf_candidate\runtime\m1__official_vitb256_ce_ep300__v5\dtb70\StreetBasketball1.jsonl,6e3d3c7febe4fee15fa2bcb7b55a2d6f2b0b548b936618e4e107211f55addbc2,241,241
dtb70,SUP2,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\test\tracking_results\ostrack_cmc_kf_assoc\m1__official_vitb256_ce_ep300__v5\SUP2.txt,f7831c325347c2f94ff7357525bb68fcade03ee571a3b9a31fe8a1579137c957,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\cmc_kf_candidate\runtime\m1__official_vitb256_ce_ep300__v5\dtb70\SUP2.jsonl,afbd02f4b032547b3270e9ea478cc6532945afc017e8ee19ce42f110ff1f0628,133,133
dtb70,SnowBoarding4,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\test\tracking_results\ostrack_cmc_kf_assoc\m1__official_vitb256_ce_ep300__v5\SnowBoarding4.txt,85c411184624082e873bddc6ddc1afc73d61dd317eedfd3834ae2f4734a29448,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\cmc_kf_candidate\runtime\m1__official_vitb256_ce_ep300__v5\dtb70\SnowBoarding4.jsonl,0799bcbc0f4e03013f4eb8f6402741048019e5d80ee044cb5594d8ddf868822c,109,109
dtb70,SpeedCar2,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\test\tracking_results\ostrack_cmc_kf_assoc\m1__official_vitb256_ce_ep300__v5\SpeedCar2.txt,a69c17ce42b344d4a6addab876138afbce46d33e452de926cb90d13d3da9c350,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\cmc_kf_candidate\runtime\m1__official_vitb256_ce_ep300__v5\dtb70\SpeedCar2.jsonl,509273957e04f035303c52f5a9c49e702430e50bb46b9f6686f5eb65748d489a,308,308
dtb70,Sheep1,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\test\tracking_results\ostrack_cmc_kf_assoc\m1__official_vitb256_ce_ep300__v5\Sheep1.txt,93b72e5aac9c349f5cccdf7948899c25309803a506d7bb4655ed6fb86fc7e84a,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\cmc_kf_candidate\runtime\m1__official_vitb256_ce_ep300__v5\dtb70\Sheep1.jsonl,c4d302fd062adf121efadf4cbef8ba500376aaf3a855a2f44438e6f19825ea8d,391,391
uavdt,S1604,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\test\tracking_results\ostrack_cmc_kf_assoc\m1__official_vitb256_ce_ep300__v5\S1604.txt,3e6684cf873ac793432d538950170f947a282b03ebf4676ecfbf7f0b3fa55355,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\cmc_kf_candidate\runtime\m1__official_vitb256_ce_ep300__v5\uavdt\S1604.jsonl,683aa09c7a215fc386fe71c2c180ce688875712312d77d255aa2782a8cc93b38,624,624
uavdt,S0102,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\test\tracking_results\ostrack_cmc_kf_assoc\m1__official_vitb256_ce_ep300__v5\S0102.txt,dd638e3e2bf6bb1398970ac88041709d9897a03dc275fd31f979497dd818065e,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\cmc_kf_candidate\runtime\m1__official_vitb256_ce_ep300__v5\uavdt\S0102.jsonl,b6edc5eee4791ba5e647fadf2569c95ca2dc05e0ab05a21521381d275d39e094,350,350
uavdt,S1601,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\test\tracking_results\ostrack_cmc_kf_assoc\m1__official_vitb256_ce_ep300__v5\S1601.txt,3b5ee01087b55dfeb105c92d8a13b6fa44a050e36569b3610a889f08e8e5c1ed,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\cmc_kf_candidate\runtime\m1__official_vitb256_ce_ep300__v5\uavdt\S1601.jsonl,7351831cd68cb5065b0cd6f0b7a8ee8b02c17a09faa5453fd02bf9258cd364cc,468,468
uavdt,S0501,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\test\tracking_results\ostrack_cmc_kf_assoc\m1__official_vitb256_ce_ep300__v5\S0501.txt,3075cf5d1c75df04834cd215bdb91fb87f87739aac64084f2ad536b5473eb42b,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\cmc_kf_candidate\runtime\m1__official_vitb256_ce_ep300__v5\uavdt\S0501.jsonl,fe9bde95c4520d71a9b99d13e93445089b91f7dab0fbd6ac334dfd82ef1ca6a9,232,232
uavdt,S1306,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\test\tracking_results\ostrack_cmc_kf_assoc\m1__official_vitb256_ce_ep300__v5\S1306.txt,cbd004382500c4a1af23e75766561e266d46c5319d8ee32564ca0ac91db9fea8,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\cmc_kf_candidate\runtime\m1__official_vitb256_ce_ep300__v5\uavdt\S1306.jsonl,ac00be18b519254306037694422d0ddc0f1fee850ed83775eeed228b25ad119a,2435,2435
