dataset,sequence,frames,auc,precision,norm_precision
dtb70,StreetBasketball1,241,56.53033447265625,96.26556396484375,54.356849670410156
dtb70,SUP2,133,77.98066711425781,100.0,99.24812316894531
dtb70,SnowBoarding4,109,78.11270904541016,100.0,93.5779800415039
dtb70,SpeedCar2,308,77.21087646484375,100.0,100.0
dtb70,Sheep1,391,14.614540100097656,14.066496849060059,11.764705657958984
uavdt,S1604,624,79.31929016113281,100.0,93.10897827148438
uavdt,S0102,350,72.5986328125,97.14286041259766,96.57142639160156
uavdt,S1601,468,88.38014221191406,100.0,100.0
uavdt,S0501,232,58.8259391784668,87.06896209716797,69.39655303955078
uavdt,S1306,2435,76.97467803955078,100.0,94.90760040283203
visdrone,uav0000222_00900_s,1051,14.521317481994629,20.26641273498535,17.982873916625977
visdrone,uav0000238_00001_s,1200,82.57142639160156,100.0,100.0
visdrone,uav0000325_01656_s,346,86.29231262207031,100.0,100.0
visdrone,uav0000072_08448_s,145,71.26437377929688,99.31034088134766,93.79310607910156
visdrone,uav0000239_11136_s,961,84.92147064208984,100.0,99.68782806396484
uav123,uav_building2,577,66.49336242675781,76.77642822265625,75.38994598388672
uav123,uav_car12,499,33.6291618347168,65.53106689453125,62.72544860839844
uav123,uav_person3_s,505,80.2262954711914,84.95049285888672,97.42574310302734
uav123,uav_car1_3,1003,62.7451057434082,91.32601928710938,91.32601928710938
uav123,uav_wakeboard2,733,81.08881378173828,100.0,99.5907211303711
