dataset,sequence,result_path,result_sha256,diagnostic_path,diagnostic_sha256,frames,diagnostic_records
dtb70,StreetBasketball1,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\test\tracking_results\ostrack_cmc_kf_assoc\e3__official_vitb256_ce_ep300__v5\StreetBasketball1.txt,a7097f2b946b74cf90591303b3f609404c9516dd768fac9002a3894e3573d475,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\cmc_kf_candidate\runtime\e3__official_vitb256_ce_ep300__v5\dtb70\StreetBasketball1.jsonl,59652ea28031b1039dffa24d2dcd6b62510aa4f8b931dfee88b2c2444acd4ce2,241,241
dtb70,SUP2,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\test\tracking_results\ostrack_cmc_kf_assoc\e3__official_vitb256_ce_ep300__v5\SUP2.txt,f7831c325347c2f94ff7357525bb68fcade03ee571a3b9a31fe8a1579137c957,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\cmc_kf_candidate\runtime\e3__official_vitb256_ce_ep300__v5\dtb70\SUP2.jsonl,f10a422c6c58568b11c7210e47b8f09b426fdd1934a6fd59872e282bec551bed,133,133
dtb70,SnowBoarding4,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\test\tracking_results\ostrack_cmc_kf_assoc\e3__official_vitb256_ce_ep300__v5\SnowBoarding4.txt,85c411184624082e873bddc6ddc1afc73d61dd317eedfd3834ae2f4734a29448,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\cmc_kf_candidate\runtime\e3__official_vitb256_ce_ep300__v5\dtb70\SnowBoarding4.jsonl,32fc1d972aaadfad6d25345a88f96bedc2f672732c008570c23d60bbfdc064b9,109,109
dtb70,SpeedCar2,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\test\tracking_results\ostrack_cmc_kf_assoc\e3__official_vitb256_ce_ep300__v5\SpeedCar2.txt,a69c17ce42b344d4a6addab876138afbce46d33e452de926cb90d13d3da9c350,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\cmc_kf_candidate\runtime\e3__official_vitb256_ce_ep300__v5\dtb70\SpeedCar2.jsonl,8f54ef1f577edc56466e093c3b036a3911e5c080432d5619ca3a6a5425ce3197,308,308
dtb70,Sheep1,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\test\tracking_results\ostrack_cmc_kf_assoc\e3__official_vitb256_ce_ep300__v5\Sheep1.txt,1d3a3b1f71d2f66832b5057b91ddb4a9be4a4bc771d130e532f875ba40738a56,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\cmc_kf_candidate\runtime\e3__official_vitb256_ce_ep300__v5\dtb70\Sheep1.jsonl,d6e28a54500dc78661d801f4b58929851e5ef4d1348cda4f527326b129c9a082,391,391
uavdt,S1604,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\test\tracking_results\ostrack_cmc_kf_assoc\e3__official_vitb256_ce_ep300__v5\S1604.txt,3e6684cf873ac793432d538950170f947a282b03ebf4676ecfbf7f0b3fa55355,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\cmc_kf_candidate\runtime\e3__official_vitb256_ce_ep300__v5\uavdt\S1604.jsonl,7527d7784e1c3e1b49966d705ae984563fd48774045a64db83af7f8a87cd1710,624,624
uavdt,S0102,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\test\tracking_results\ostrack_cmc_kf_assoc\e3__official_vitb256_ce_ep300__v5\S0102.txt,1aea8cf07b1f308e5fa21d43293a1205c1f95a6e6c729e703df701258ea95d52,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\cmc_kf_candidate\runtime\e3__official_vitb256_ce_ep300__v5\uavdt\S0102.jsonl,3538b802a3d58393a0e17eb81dc5285076e63c491fcc69809b56e945328ceefb,350,350
uavdt,S1601,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\test\tracking_results\ostrack_cmc_kf_assoc\e3__official_vitb256_ce_ep300__v5\S1601.txt,3b5ee01087b55dfeb105c92d8a13b6fa44a050e36569b3610a889f08e8e5c1ed,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\cmc_kf_candidate\runtime\e3__official_vitb256_ce_ep300__v5\uavdt\S1601.jsonl,b033f6dc3cb59bcabc74e8b56ddbdf8b08fb89ccb7266080ba6772d48f251806,468,468
uavdt,S0501,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\test\tracking_results\ostrack_cmc_kf_assoc\e3__official_vitb256_ce_ep300__v5\S0501.txt,3075cf5d1c75df04834cd215bdb91fb87f87739aac64084f2ad536b5473eb42b,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\cmc_kf_candidate\runtime\e3__official_vitb256_ce_ep300__v5\uavdt\S0501.jsonl,79b599d11c1da42ac2aecf63d387153e93cdfda54ba816f3d6dbebdeaf83a453,232,232
uavdt,S1306,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\test\tracking_results\ostrack_cmc_kf_assoc\e3__official_vitb256_ce_ep300__v5\S1306.txt,cbd004382500c4a1af23e75766561e266d46c5319d8ee32564ca0ac91db9fea8,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\cmc_kf_candidate\runtime\e3__official_vitb256_ce_ep300__v5\uavdt\S1306.jsonl,bcbdb2cf52bb2d93a217665a56ec68ba638d53414748d0b07b3f71de5c6f91f1,2435,2435
visdrone,uav0000222_00900_s,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\test\tracking_results\ostrack_cmc_kf_assoc\e3__official_vitb256_ce_ep300__v5\uav0000222_00900_s.txt,e89eeac9879aaf873406010e6831fb1d4dcd67d4a1decee86ffec40b0e1f0e95,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\cmc_kf_candidate\runtime\e3__official_vitb256_ce_ep300__v5\visdrone\uav0000222_00900_s.jsonl,865d2a37cb118afb12a7db0afa6c4b8cd648e295863d749a5c8f0e1067862b26,1051,1051
visdrone,uav0000238_00001_s,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\test\tracking_results\ostrack_cmc_kf_assoc\e3__official_vitb256_ce_ep300__v5\uav0000238_00001_s.txt,b37c93b2b343082629b49cc7c8fbf25ff3708e89c44552fddf82c87d1b57528b,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\cmc_kf_candidate\runtime\e3__official_vitb256_ce_ep300__v5\visdrone\uav0000238_00001_s.jsonl,cd64c071443a42a9ece1b075c7925fed02552ed51504a5ba43404cdff13f4874,1200,1200
visdrone,uav0000325_01656_s,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\test\tracking_results\ostrack_cmc_kf_assoc\e3__official_vitb256_ce_ep300__v5\uav0000325_01656_s.txt,44345422d782bbb0012ed91918b3fa875febc1d99759108d04166281d46fa314,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\cmc_kf_candidate\runtime\e3__official_vitb256_ce_ep300__v5\visdrone\uav0000325_01656_s.jsonl,c3872e52e0613875e67f43b7a57d0c531a2f496ea3a37bb3b861d45b78cdc5fe,346,346
visdrone,uav0000072_08448_s,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\test\tracking_results\ostrack_cmc_kf_assoc\e3__official_vitb256_ce_ep300__v5\uav0000072_08448_s.txt,df291c604b7403dba517d891932803ce04f001fd15e590dc7314bfb96ee978d7,D:\PyCharm\Projects\OSTrack-main-cmc-kf-candidate\output\cmc_kf_candidate\runtime\e3__official_vitb256_ce_ep300__v5\visdrone\uav0000072_08448_s.jsonl,85f0b43f9de9107afa023f3c17ffd2ec9f2d32d6c995e81010db6287cd0fbd44,145,145
